Country,JobTitle,Category,CostofLivingIndex,RentIndex,CostofLivingPlusRentIndex,GroceriesIndex,RestaurantPriceIndex,LocalPurchasingPowerIndex,SalaryUSD,SalaryRoundedUSD,SalaryRangeinK
Afghanistan,Cardiovascular Specialist,Health and Medical,22.8,2.8,13.3,17.3,13,22.4,53751.57,53752,50-60
Afghanistan,Chief of Surgery,Health and Medical,22.8,2.8,13.3,17.3,13,22.4,62170.48,62170,60-70
Afghanistan,Invasive Cardiologist,Health and Medical,22.8,2.8,13.3,17.3,13,22.4,55230.99,55231,50-60
Afghanistan,Physician - Cardiology,Health and Medical,22.8,2.8,13.3,17.3,13,22.4,52909.4,52909,50-60
Afghanistan,Surgeon - Cardiothoracic,Health and Medical,22.8,2.8,13.3,17.3,13,22.4,58777.93,58778,50-60
Afghanistan,Surgeon - Heart Transplant,Health and Medical,22.8,2.8,13.3,17.3,13,22.4,64149.58,64150,60-70
Afghanistan,Surgeon - Neurology,Health and Medical,22.8,2.8,13.3,17.3,13,22.4,55230.99,55231,50-60
Afghanistan,Surgeon - Orthopedic,Health and Medical,22.8,2.8,13.3,17.3,13,22.4,62466.64,62467,60-70
Afghanistan,Surgeon - Pediatric,Health and Medical,22.8,2.8,13.3,17.3,13,22.4,50029.17,50029,50-60
Afghanistan,Surgeon - Plastic Reconstructive,Health and Medical,22.8,2.8,13.3,17.3,13,22.4,58122.44,58122,50-60
Albania,Cardiovascular Specialist,Health and Medical,40.8,10.2,26.3,39.4,31,31.6,50705.06,50705,50-60
Albania,Chief of Surgery,Health and Medical,40.8,10.2,26.3,39.4,31,31.6,55726.07,55726,50-60
Albania,Invasive Cardiologist,Health and Medical,40.8,10.2,26.3,39.4,31,31.6,51861.18,51861,50-60
Albania,Surgeon - Cardiothoracic,Health and Medical,40.8,10.2,26.3,39.4,31,31.6,52974.4,52974,50-60
Albania,Surgeon - Heart Transplant,Health and Medical,40.8,10.2,26.3,39.4,31,31.6,58020.53,58021,50-60
Albania,Surgeon - Neurology,Health and Medical,40.8,10.2,26.3,39.4,31,31.6,50075.21,50075,50-60
Albania,Surgeon - Orthopedic,Health and Medical,40.8,10.2,26.3,39.4,31,31.6,56739.9,56740,50-60
Albania,Surgeon - Plastic Reconstructive,Health and Medical,40.8,10.2,26.3,39.4,31,31.6,52974.4,52974,50-60
Croatia,Academic Clinician,Health and Medical,46.9,14.5,31.5,42.6,42.6,58,50898.19,50898,50-60
Croatia,Anesthesiologist,Health and Medical,46.9,14.5,31.5,42.6,42.6,58,75927.05,75927,70-80
Croatia,Breast Center Manager,Health and Medical,46.9,14.5,31.5,42.6,42.6,58,73833,73833,70-80
Croatia,Cardiology Manager,Health and Medical,46.9,14.5,31.5,42.6,42.6,58,77679.21,77679,70-80
Croatia,Cardiovascular Specialist,Health and Medical,46.9,14.5,31.5,42.6,42.6,58,97878.94,97879,80-90
Croatia,Chief of Psychology,Health and Medical,46.9,14.5,31.5,42.6,42.6,58,79531.09,79531,70-80
Croatia,Chief of Surgery,Health and Medical,46.9,14.5,31.5,42.6,42.6,58,110072.85,110073,80-90
Croatia,Clinical Director,Health and Medical,46.9,14.5,31.5,42.6,42.6,58,70670.56,70671,70-80
Croatia,Clinical Microbiologist,Health and Medical,46.9,14.5,31.5,42.6,42.6,58,50371.11,50371,50-60
Croatia,Clinical Neuropsychologist,Health and Medical,46.9,14.5,31.5,42.6,42.6,58,50428.1,50428,50-60
Croatia,Clinical Psychologist,Health and Medical,46.9,14.5,31.5,42.6,42.6,58,81796.08,81796,80-90
Croatia,Clinical Scientist,Health and Medical,46.9,14.5,31.5,42.6,42.6,58,51710.17,51710,50-60
Croatia,Counseling Psychologist,Health and Medical,46.9,14.5,31.5,42.6,42.6,58,61325.69,61326,60-70
Croatia,Dentist,Health and Medical,46.9,14.5,31.5,42.6,42.6,58,62294.37,62294,60-70
Croatia,Dermatologist,Health and Medical,46.9,14.5,31.5,42.6,42.6,58,72266.02,72266,70-80
Croatia,Dietitian,Health and Medical,46.9,14.5,31.5,42.6,42.6,58,50143.19,50143,50-60
