Country,JobTitle,Category,CostofLivingIndex,RentIndex,CostofLivingPlusRentIndex,GroceriesIndex,RestaurantPriceIndex,LocalPurchasingPowerIndex,SalaryRange
Canada,Materials Planner,Automotive,68.4,36,53.1,70.7,64,83.3,50-60
Canada,Field Inspector,Construction / Building / Installation,68.4,36,53.1,70.7,64,83.3,50-60
China,Tax Analyst,Accounting and Finance,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Corporate Officer,Executive and Management,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Retail District Manager,Executive and Management,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Manufacturing Engineering Technologist,Factory and Manufacturing,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Hotel Service Supervisor,Food / Hospitality / Tourism / Catering,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Perioperative Assistant,Health and Medical,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Human Resources Advisor,Human Resources,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Business Intelligence Analyst,Information Technology,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Computer Networks Architect,Information Technology,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Java Developer,Information Technology,34.1,13.4,24.3,37.6,21,60.5,50-60
China,SAP Consultant,Information Technology,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Web Security Administrator,Information Technology,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Procurement Process Analyst,Purchasing and Inventory,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Sales Team Leader,Sales Retail and Wholesale,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Treasury Officer,Sales Retail and Wholesale,34.1,13.4,24.3,37.6,21,60.5,50-60
China,Teacher Trainer,Teaching / Education,34.1,13.4,24.3,37.6,21,60.5,50-60
Venezuela,Architectural Designer,Architecture,39.4,5.7,23.4,38.3,38.5,12.6,50-60
Venezuela,Business Operations Specialist,Business Planning,39.4,5.7,23.4,38.3,38.5,12.6,50-60
Venezuela,Capacity Planning Supervisor,Business Planning,39.4,5.7,23.4,38.3,38.5,12.6,50-60
Venezuela,Consultant,Counseling,39.4,5.7,23.4,38.3,38.5,12.6,50-60
Venezuela,Account Manager,Executive and Management,39.4,5.7,23.4,38.3,38.5,12.6,50-60
