Country,Job Title,Category,Salary,Currency,Exchange Rate,Salary(USD),SalaryRounded(USD)
Afghanistan,Cardiovascular Specialist,Health and Medical,3829500,AFN,71.24,53751.57,53752
Afghanistan,Chief of Surgery,Health and Medical,4429300,AFN,71.24,62170.48,62170
Afghanistan,Invasive Cardiologist,Health and Medical,3934900,AFN,71.24,55230.99,55231
Afghanistan,Physician - Cardiology,Health and Medical,3769500,AFN,71.24,52909.4,52909
Afghanistan,Surgeon - Cardiothoracic,Health and Medical,4187600,AFN,71.24,58777.93,58778
Afghanistan,Surgeon - Heart Transplant,Health and Medical,4570300,AFN,71.24,64149.58,64150
Afghanistan,Surgeon - Neurology,Health and Medical,3934900,AFN,71.24,55230.99,55231
Afghanistan,Surgeon - Orthopedic,Health and Medical,4450400,AFN,71.24,62466.64,62467
Afghanistan,Surgeon - Pediatric,Health and Medical,3564300,AFN,71.24,50029.17,50029
Afghanistan,Surgeon - Plastic Reconstructive,Health and Medical,4140900,AFN,71.24,58122.44,58122
ýýland Islands,Accounting Head,Accounting and Finance,64720,EUR,0.93,69464.39,69464
ýýland Islands,Accounting Manager,Accounting and Finance,66820,EUR,0.93,71718.34,71718
ýýland Islands,Accounting Unit Controller,Accounting and Finance,50180,EUR,0.93,53858.52,53859
ýýland Islands,Accounts Payable Manager,Accounting and Finance,58800,EUR,0.93,63110.42,63110
ýýland Islands,Accounts Receivable Manager,Accounting and Finance,61180,EUR,0.93,65664.89,65665
ýýland Islands,Accounts Receivable Team Leader,Accounting and Finance,46720,EUR,0.93,50144.88,50145
ýýland Islands,Assistant Accounting Manager,Accounting and Finance,61840,EUR,0.93,66373.27,66373
ýýland Islands,Assistant Finance Manager,Accounting and Finance,66100,EUR,0.93,70945.56,70946
ýýland Islands,Audit Director,Accounting and Finance,72780,EUR,0.93,78115.24,78115
ýýland Islands,Audit Supervisor,Accounting and Finance,57080,EUR,0.93,61264.33,61264
ýýland Islands,Auditing Manager,Accounting and Finance,64200,EUR,0.93,68906.27,68906
ýýland Islands,Billing Supervisor,Accounting and Finance,49360,EUR,0.93,52978.41,52978
ýýland Islands,Budget Analyst,Accounting and Finance,54700,EUR,0.93,58709.86,58710
ýýland Islands,Budget Manager,Accounting and Finance,64920,EUR,0.93,69679.05,69679
ýýland Islands,Cash Flow Analyst,Accounting and Finance,47400,EUR,0.93,50874.73,50875
ýýland Islands,Cash Management Manager,Accounting and Finance,63500,EUR,0.93,68154.96,68155
ýýland Islands,Chief Accountant,Accounting and Finance,46980,EUR,0.93,50423.94,50424
ýýland Islands,Corporate Controller,Accounting and Finance,53600,EUR,0.93,57529.23,57529
ýýland Islands,Corporate Treasurer,Accounting and Finance,62420,EUR,0.93,66995.79,66996
